book_id,original_title,authors,publication_year,isbn,image_url
4820,Beauty's Release (Sleeping Beauty- #3),A.N. Roquelaure- Anne Rice,1985,452281458,https://images.gr-assets.com/books/1167595462m/25190.jpg
4989,Beauty's Punishment,A.N. Roquelaure- Anne Rice,1984,452281431,https://images.gr-assets.com/books/1426861477m/18750.jpg
8096,Sleeping Beauty Box Set,A.N. Roquelaure- Anne Rice,1983,452156610,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3225,Wings of Fire: An Autobiography,A.P.J. Abdul Kalam- Arun Tiwari,1999,8173711461,https://images.gr-assets.com/books/1295670969m/634583.jpg
1970,Possession,A.S. Byatt,1990,679735909,https://images.gr-assets.com/books/1391124124m/41219.jpg
9506,The Children's Book,A.S. Byatt,2009,307272095,https://images.gr-assets.com/books/1320548114m/6280379.jpg
5320,Please Ignore Vera Dietz,A.S. King,2010,375865861,https://images.gr-assets.com/books/1394240671m/6665671.jpg
6925,Ask the Passengers,A.S. King,2012,316194689,https://images.gr-assets.com/books/1371850438m/13069935.jpg
1306,The Silent Wife,A.S.A. Harrison,2013,143123238,https://images.gr-assets.com/books/1356094989m/16171291.jpg
2266,Pursuit of God,A.W. Tozer,1948,875093663,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6886,The Knowledge of the Holy: The Attributes of God: Their Meaning in the Christian Life,A.W. Tozer,1961,60684127,https://images.gr-assets.com/books/1411484750m/666758.jpg
2967,Bokhandleren i Kabul,Åsne Seierstad- Ingrid Christopherson,2002,316159417,https://images.gr-assets.com/books/1388611939m/9838.jpg
7090,Nana,Émile Zola,1880,3746611091,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
8682,Thérèse Raquin,Émile Zola- Robin Buss,1867,140449442,https://images.gr-assets.com/books/1282318692m/110871.jpg
5189,Germinal,Émile Zola- Roger Pearson,1885,140447423,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7499,Oscar et la dame rose,Éric-Emmanuel Schmitt,1996,2226135022,https://images.gr-assets.com/books/1399593530m/120461.jpg
812,Fallen Too Far (Too Far- #1),Abbi Glines,2012,,https://images.gr-assets.com/books/1349565157m/16070903.jpg
1295,Never Too Far (Too Far- #2),Abbi Glines,2013,1301627445,https://images.gr-assets.com/books/1356822956m/17029526.jpg
1983,Breathe,Abbi Glines,2011,,https://images.gr-assets.com/books/1341120438m/11479285.jpg
1994,Forever Too Far (Too Far- #3),Abbi Glines,2013,,https://images.gr-assets.com/books/1368151288m/17337562.jpg
2364,The Vincent Brothers (The Vincent Boys- #1),Abbi Glines,2011,,https://images.gr-assets.com/books/1327184585m/12900174.jpg
2665,Twisted Perfection (Perfection- #1),Abbi Glines,2013,,https://images.gr-assets.com/books/1360904964m/17333880.jpg
2776,While It Lasts,Abbi Glines,2012,,https://images.gr-assets.com/books/1332261619m/13496738.jpg
3040,Because of Low,Abbi Glines,2012,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3589,The Vincent Brothers,Abbi Glines,2012,,https://images.gr-assets.com/books/1330071594m/13369678.jpg
3666,Just for Now,Abbi Glines,2012,,https://images.gr-assets.com/books/1348461168m/15778138.jpg
4409,Predestined,Abbi Glines,2012,,https://images.gr-assets.com/books/1327068385m/13323842.jpg
4662,Simple Perfection (Perfection- #2),Abbi Glines,2013,,https://images.gr-assets.com/books/1415743194m/17449417.jpg
5190,Ceaseless,Abbi Glines,2012,,https://images.gr-assets.com/books/1351606331m/13573795.jpg
5466,Take a Chance (Chance- #1),Abbi Glines,2014,,https://images.gr-assets.com/books/1396889528m/18053782.jpg
5736,Until Friday Night,Abbi Glines,2015,1481438867,https://images.gr-assets.com/books/1429191171m/22522202.jpg
6700,Rush Too Far (Too Far- #4),Abbi Glines,2014,,https://images.gr-assets.com/books/1393569509m/18211536.jpg
6803,Sometimes It Lasts,Abbi Glines,2013,,https://images.gr-assets.com/books/1415292563m/15828714.jpg
7510,One More Chance,Abbi Glines,2014,,https://images.gr-assets.com/books/1397837715m/17835766.jpg
7847,Bad for You,Abbi Glines,2014,1481420763,https://images.gr-assets.com/books/1390861093m/18870159.jpg
8364,Misbehaving,Abbi Glines,2013,,https://images.gr-assets.com/books/1415353706m/17835773.jpg
9942,Dangerous Girls,Abigail Haas- Abby McDonald,2013,1442486597,https://images.gr-assets.com/books/1356513050m/16074758.jpg
291,Cutting for Stone,Abraham Verghese,2009,375414495,https://images.gr-assets.com/books/1327931601m/3591262.jpg
7792,A Tale Dark and Grimm,Adam Gidwitz,2010,525423346,https://images.gr-assets.com/books/1345696603m/7825557.jpg
8329,Paris to the Moon,Adam Gopnik,2000,375758232,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3844,King Leopold's Ghost,Adam Hochschild,1998,618001905,https://images.gr-assets.com/books/1348621563m/347610.jpg
1462,The Orphan Master's Son,Adam Johnson,2012,812992792,https://images.gr-assets.com/books/1327878601m/11529868.jpg
9944,Give and Take: A Revolutionary Approach to Success,Adam M. Grant,2013,670026557,https://images.gr-assets.com/books/1356136579m/16158498.jpg
7902,A Higher Call: An Incredible True Story of Combat and Chivalry in the War-Torn Skies of World War II,Adam Makos- Larry Alexander,2012,425252868,https://images.gr-assets.com/books/1350889524m/15808816.jpg
1331,Go the Fuck to Sleep,Adam Mansbach- Ricardo Cortés,2011,1617750255,https://images.gr-assets.com/books/1342861907m/11192642.jpg
4684,An Inquiry into the Nature and Causes of the Wealth of Nations ,Adam Smith,1776,553585975,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
8086,Someone To Love,Addison Moore,2012,,https://images.gr-assets.com/books/1355429121m/16233105.jpg
7233,How to Talk So Teens Will Listen and Listen So Teens Will Talk,Adele Faber- Elaine Mazlish- Kimberly Ann Coe,1979,380811960,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
4759,Falling Leaves: The Memoir of an Unwanted Chinese Daughter,Adeline Yen Mah,1997,767903579,https://images.gr-assets.com/books/1423952608m/54529.jpg
5108,Chinese Cinderella: The True Story of an Unwanted Daughter,Adeline Yen Mah,1999,440228654,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6114,The Love Affairs of Nathaniel P. ,Adelle Waldman,2013,805097457,https://images.gr-assets.com/books/1361026301m/16045140.jpg
4399,Mein Kampf,Adolf Hitler,1925,395083621,https://images.gr-assets.com/books/1395618385m/54270.jpg
9720,La invención de Morel,Adolfo Bioy Casares- Suzanne Jill Levine- Jorge Luis Borges- Ruth L.C. Simms- Norah Borges de Torre,1940,1590170571,https://images.gr-assets.com/books/1327960951m/94486.jpg
3292,The Exploits of Sherlock Holmes,Adrian Conan Doyle- John Dickson Carr,1954,517203383,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
8703,Random Family: Love- Drugs- Trouble- and Coming of Age in the Bronx,Adrian Nicole LeBlanc,2003,743254430,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1610,The Shoemaker's Wife,Adriana Trigiani,2012,61257095,https://images.gr-assets.com/books/1329256279m/13127599.jpg
2994,Big Stone Gap,Adriana Trigiani,2000,345459202,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7556,Big Cherry Holler (Big Stone Gap- Book 2),Adriana Trigiani,2001,743430344,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7652,Lucia- Lucia,Adriana Trigiani,2003,345472446,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
8073,Very Valentine,Adriana Trigiani,2009,61257052,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1120,Aesopica,Aesop- Laura Harris- Laura Gibbs,-560,192840509,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
200,Ten Little Niggers,Agatha Christie,1939,312330871,https://images.gr-assets.com/books/1391120695m/16299.jpg
672,Murder in the Calais Coach,Agatha Christie,1934,425200450,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1058,Murder at the Vicarage,Agatha Christie,1930,1579126251,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1410,The Murder of Roger Ackroyd,Agatha Christie,1926,1579126278,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1732,The Man in the Brown Suit,Agatha Christie,1924,7151667,https://images.gr-assets.com/books/1390018729m/209194.jpg
1741,Death on the Nile,Agatha Christie,1937,553119222,https://images.gr-assets.com/books/1486837149m/131359.jpg
2235,The ABC Murders,Agatha Christie,1936,1579126243,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3229,The Body in the Library,Agatha Christie,1942,157912626X,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3752,Poirot Investigates,Agatha Christie,1924,,https://images.gr-assets.com/books/1359475912m/140302.jpg
4240,Evil Under the Sun,Agatha Christie,1941,1579126286,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
4728,A Murder is Announced,Agatha Christie,1950,1579126294,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
5041,4.50 From Paddington,Agatha Christie,1957,1579126936,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
5115,The Secret Adversary,Agatha Christie,1922,1600963943,https://images.gr-assets.com/books/1331721280m/49596.jpg
5505,Five Little Pigs,Agatha Christie,1942,425093255,https://images.gr-assets.com/books/1429422068m/121648.jpg
5665,Murder in Mesopotamia,Agatha Christie,1936,7113803,https://images.gr-assets.com/books/1308808558m/16360.jpg
5858,Cards on the Table,Agatha Christie,1936,425205959,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
5861,Appointment with Death,Agatha Christie,1938,7119356,https://images.gr-assets.com/books/1308808730m/16363.jpg
6078,Curtain: Poirot’s Last Case,Agatha Christie,1975,425173747,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6087,Hercule Poirot's Christmas,Agatha Christie,1938,7120699,https://images.gr-assets.com/books/1308808460m/16349.jpg
6211,The Big Four,Agatha Christie,1927,7120818,https://images.gr-assets.com/books/1372506728m/16316.jpg
6212,Peril at End House,Agatha Christie,1932,7119305,https://images.gr-assets.com/books/1327938128m/16424.jpg
6314,The Murder on the Links,Agatha Christie,1923,425067947,https://images.gr-assets.com/books/1384562979m/639787.jpg
6501,Crooked House,Agatha Christie,1949,031298166X,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6512,The Mirror Crack'd from Side to Side,Agatha Christie,1962,7120982,https://images.gr-assets.com/books/1466335226m/16372.jpg
6684,Death in the Clouds,Agatha Christie,1935,000711933X,https://images.gr-assets.com/books/1308808359m/16326.jpg
7006,The Mystery of the Blue Train,Agatha Christie,1928,1579126952,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7208,Cat Among the Pigeons,Agatha Christie,1959,425205967,https://images.gr-assets.com/books/1275665326m/16342.jpg
7607,Lord Edgware Dies,Agatha Christie,1933,2314576,https://images.gr-assets.com/books/1375949065m/215492.jpg
7619,Sleeping Murder,Agatha Christie,1976,2317850,https://images.gr-assets.com/books/1308808135m/16300.jpg
7635,A Pocket Full of Rye,Agatha Christie,1953,451199863,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7681,Elephants Can Remember,Agatha Christie,1972,425067823,https://images.gr-assets.com/books/1309211932m/148584.jpg
7748,Nemesis,Agatha Christie,1971,451200187,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7991,Hallowe'en Party,Agatha Christie,1969,7120680,https://images.gr-assets.com/books/1295673439m/16307.jpg
8156,After the Funeral ,Agatha Christie,1953,425173909,https://images.gr-assets.com/books/1384881992m/527744.jpg
8215,The Moving Finger,Agatha Christie,1942,7120842,https://images.gr-assets.com/books/1396227246m/16341.jpg
8868,At Bertram's Hotel,Agatha Christie,1965,2310015,https://images.gr-assets.com/books/1375949033m/16333.jpg
9116,A Caribbean Mystery,Agatha Christie,1964,451199928,https://images.gr-assets.com/books/1309280346m/31300.jpg
9400,Sad Cypress,Agatha Christie,1940,7120710,https://images.gr-assets.com/books/1396229541m/433035.jpg
9494,They Do it with Mirrors,Agatha Christie,1952,451199901,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9469,One- Two- Buckle My Shoe,Agatha Christie- Hugh Fraser,1940,1572703857,https://images.gr-assets.com/books/1328750172m/16312.jpg
671,The Mysterious Affair at Styles,Agatha Christie- Ροζίτα Σώκου,1920,646418432,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9476,The Clocks,Agatha Christie- Robin Bailey,1963,1572703938,https://images.gr-assets.com/books/1375949009m/388018.jpg
7567,Negeri 5 Menara,Ahmad Fuadi,2009,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3651,NANA―ナナ― 1,Ai Yazawa,2000,1421501082,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7110,Paradise Kiss 1,Ai Yazawa,2000,1931514607,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2736,The Particular Sadness of Lemon Cake,Aimee Bender,2010,385501129,https://images.gr-assets.com/books/1320541766m/7048800.jpg
3781,The Goddess Test,Aimee Carter,2011,373210264,https://images.gr-assets.com/books/1387217173m/9681214.jpg
5489,Goddess Interrupted,Aimee Carter,2012,373210450,https://images.gr-assets.com/books/1397956745m/12637490.jpg
4053,Three Little Pigs (Little Golden Book),Al Dempster- Milt Banta- Golden Books- Walt Disney Company,1948,736423125,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3597,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,452285216,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3900,Hand- Hand- Fingers- Thumb,Al Perkins- Eric Gurney,1969,679890483,https://images.gr-assets.com/books/1397803649m/857501.jpg
7866,The 22 Immutable Laws of Marketing: Violate Them at Your Own Risk!,Al Ries- Jack Trout,1993,887306667,https://images.gr-assets.com/books/1417627150m/33449.jpg
9014,Positioning: The Battle for Your Mind,Al Ries- Jack Trout,1980,71373586,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
4376,شيكاجو,Alaa Al Aswany- علاء الأسواني,2007,9770919403,https://images.gr-assets.com/books/1258877751m/1220507.jpg
6625,عمارة يعقوبيان,Alaa Al Aswany- علاء الأسواني,2002,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6157,The Art of Travel,Alain de Botton,2002,375725342,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7715,Essays in Love,Alain de Botton,1993,802142400,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7869,The Consolations of Philosophy,Alain de Botton,2000,679779175,https://images.gr-assets.com/books/1403191802m/23419.jpg
8338,Hello- Cupcake!: Irresistibly Playful Creations Anyone Can Make,Alan    Richardson- Karen Tack,2008,618829253,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6194,The Uncommon Reader ,Alan Bennett,2007,374280967,https://images.gr-assets.com/books/1317064291m/1096390.jpg
1024,The Sweetness at the Bottom of the Pie,Alan Bradley,2009,385342306,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3805,The Weed That Strings the Hangman's Bag,Alan Bradley,2010,385342314,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
4970,A Red Herring Without Mustard,Alan Bradley,2011,385342322,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
5641,Speaking from Among the Bones,Alan Bradley,2013,385344031,https://images.gr-assets.com/books/1344371922m/13642963.jpg
5895,I Am Half-Sick of Shadows ,Alan Bradley,2011,385344015,https://images.gr-assets.com/books/1409945571m/11277218.jpg
6767,The Dead in Their Vaulted Arches,Alan Bradley,2014,385344058,https://images.gr-assets.com/books/1432578235m/17834904.jpg
7310,As Chimney Sweepers Come to Dust ,Alan Bradley,2015,345539931,https://images.gr-assets.com/books/1406214651m/21874813.jpg
1216,Moloka'i,Alan Brennert,2003,312304358,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6047,Honolulu,Alan Brennert,2009,312360401,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
4734,Not My Father's Son,Alan Cumming,2014,62225073,https://images.gr-assets.com/books/1429218612m/22934446.jpg
7098,Alien,Alan Dean Foster,1979,2290011150,https://images.gr-assets.com/books/1332019229m/35125.jpg
8535,Star Wars: From the Adventures of Luke Skywalker,Alan Dean Foster- George Lucas,1976,1857239407,https://images.gr-assets.com/books/1408936775m/599090.jpg
9595,Star Wars: The Force Awakens,Alan Dean Foster- Lawrence Kasdan- J.J. Abrams- Michael Arndt,2015,1101965509,https://images.gr-assets.com/books/1450520344m/25387202.jpg
5478,The Line of Beauty,Alan Hollinghurst,2004,739464469,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9055,The Lord of the Rings Sketchbook,Alan Lee- Ian McKellen,2005,618640142,https://images.gr-assets.com/books/1416453209m/25790.jpg
4103,Einstein's Dreams,Alan Lightman,1992,140007780X,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
735,Batman: The Killing Joke ,Alan Moore- Brian Bolland- Tim Sale,1988,930289455,https://images.gr-assets.com/books/1346331835m/96358.jpg
9601,Superman: Whatever Happened to the Man of Tomorrow?,Alan Moore- Curt Swan- George Pérez- Kurt Schaffenberger,1985,1563893150,https://images.gr-assets.com/books/1308365122m/161275.jpg
191,Watchmen,Alan Moore- Dave Gibbons- John Higgins,1987,930289234,https://images.gr-assets.com/books/1442239711m/472331.jpg
365,V for Vendetta,Alan Moore- David   Lloyd,1990,1401207928,https://images.gr-assets.com/books/1343668985m/5805.jpg
4064,From Hell,Alan Moore- Eddie Campbell- Pete Mullins,1999,861661419,https://images.gr-assets.com/books/1327894621m/23529.jpg
2760,The League of Extraordinary Gentlemen- Vol. I,Alan Moore- Kevin O'Neill,2000,1563898586,https://images.gr-assets.com/books/1327894724m/297627.jpg
6568,The League of Extraordinary Gentlemen- Vol. 2,Alan Moore- Kevin O'Neill,2003,1401201180,https://images.gr-assets.com/books/1327904678m/107007.jpg
6508,The Saga of the Swamp Thing- Vol 20 - 27,Alan Moore- Stephen R. Bissette- John Totleben- Rick Veitch- Ramsey Campbell,1983,930289226,https://images.gr-assets.com/books/1393967527m/102324.jpg
2190,Cry- The Beloved Country,Alan Paton,1948,074326195X,https://images.gr-assets.com/books/1344182368m/6150.jpg
7669,The Way of Zen,Alan W. Watts,1957,375705104,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
8907,The Book on the Taboo Against Knowing Who You Are,Alan W. Watts,1966,679723005,https://images.gr-assets.com/books/1403166178m/60551.jpg
3207,The World Without Us,Alan Weisman,2007,312347294,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3111,Revelation Space,Alastair Reynolds,2000,441009425,https://images.gr-assets.com/books/1405532042m/89187.jpg
5714,Redemption Ark,Alastair Reynolds,2003,044101173X,https://images.gr-assets.com/books/1309206851m/89190.jpg
7035,House of Suns,Alastair Reynolds,2008,575099127,https://images.gr-assets.com/books/1447892903m/1126719.jpg
7128,Chasm City,Alastair Reynolds,2001,441010644,https://images.gr-assets.com/books/1309203334m/89185.jpg
7766,Absolution Gap,Alastair Reynolds,2003,441012914,https://images.gr-assets.com/books/1309210984m/89184.jpg
9499,Pushing Ice,Alastair Reynolds,2005,441014011,https://images.gr-assets.com/books/1309197028m/89186.jpg
9658,The Prefect,Alastair Reynolds,2007,575077166,https://images.gr-assets.com/books/1327988786m/89195.jpg
2024,La Chute,Albert Camus- Justin O'Brien,1956,679720227,https://images.gr-assets.com/books/1467904855m/11991.jpg
3342,Le Mythe de Sisyphe,Albert Camus- Justin O'Brien,1942,679733736,https://images.gr-assets.com/books/1401656886m/11987.jpg
162,L’Étranger,Albert Camus- Matthew    Ward,1942,,https://images.gr-assets.com/books/1349927872m/49552.jpg
872,La peste,Albert Camus- Stuart Gilbert,1947,679720219,https://images.gr-assets.com/books/1342837610m/11989.jpg
7398,Über die spezielle und die allgemeine Relativitätstheorie,Albert Einstein- Nigel Calder- Robert W. Lawson,1916,143039822,https://images.gr-assets.com/books/1420607613m/15852.jpg
5068,A Sand County Almanac,Aldo Leopold,1949,195007778,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
55,Brave New World,Aldous Huxley,1932,60929871,https://images.gr-assets.com/books/1487389574m/5129.jpg
3464,The Doors of Perception & Heaven and Hell,Aldous Huxley,1956,60595183,https://images.gr-assets.com/books/1375947566m/5128.jpg
5783,Island,Aldous Huxley,1962,60085495,https://images.gr-assets.com/books/1375947541m/5130.jpg
8140,Brave New World Revisited ,Aldous Huxley,1958,60898526,https://images.gr-assets.com/books/1410136964m/5481.jpg
809,Brave New World/Brave New World Revisited,Aldous Huxley- Christopher Hitchens,1932,60776099,https://images.gr-assets.com/books/1331315450m/5479.jpg
4403,Consequences,Aleatha Romig,2011,1465341889,https://images.gr-assets.com/books/1350233855m/12368985.jpg
9884,Горе от ума ,Aleksandr Griboyedov- Александр Сергеевич Грибоедов,1825,5080039159,https://images.gr-assets.com/books/1342993233m/97390.jpg
8523,Архипелаг ГУЛАГ- 1918-1956,Aleksandr Solzhenitsyn- Edward E. Ericson Jr.,1973,60007761,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7084,Hollywood Dirt,Alessandra Torre,2015,,https://images.gr-assets.com/books/1439214601m/25802884.jpg
7413,Black Lies,Alessandra Torre,2014,,https://images.gr-assets.com/books/1407450110m/22471294.jpg
5241,Seta,Alessandro Baricco,1996,375703829,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9941,Novecento,Alessandro Baricco,1994,8807813025,https://images.gr-assets.com/books/1346326152m/61266.jpg
9489,Rainbow Boys,Alex   Sanchez,2001,689857705,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
8940,The Rest Is Noise: Listening to the Twentieth Century,Alex  Ross,2007,374249393,https://images.gr-assets.com/books/1311973474m/392563.jpg
9614,The Faithful Spy,Alex Berenson,2006,345478991,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
645,Beastly (Beastly- #1- Kendra Chronicles- #1),Alex Flinn,2007,60874163,https://images.gr-assets.com/books/1334260193m/544891.jpg
9855,A Kiss in Time,Alex Flinn,2008,60874198,https://images.gr-assets.com/books/1355870076m/5266667.jpg
1586,The Beach,Alex Garland,1996,1573226521,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9909,George,Alex Gino,2015,545812542,https://images.gr-assets.com/books/1423358952m/24612624.jpg
734,Roots,Alex Haley,1976,440174643,https://images.gr-assets.com/books/1329398936m/546018.jpg
7477,A Perfect Evil,Alex Kava,2000,778322335,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
8867,There Are No Children Here: The Story of Two Boys Growing Up in the Other America,Alex Kotlowitz,1991,385265565,https://images.gr-assets.com/books/1320394274m/41918.jpg
9674,After Anna,Alex Lake,2015,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
9396,The Wicked Girls,Alex Marwood,2008,1847445209,https://images.gr-assets.com/books/1340853882m/11940384.jpg
